"Number","Package","Severity","Summary","State","CreatedAt"
"126","nanoid","high","nanoid: Integer Overflow or Wraparound","open","2026-09-02T14:36:51Z"
"125","browserslist","high","Browserslist: Unbounded memory growth (no cache eviction) via distinct query results, leading to eventual OOM","open","2026-09-02T14:36:51Z"
"124","browserslist","high","Browserslist: Uncaught crash / prototype write via untrusted browserslist-stats.json custom stats (normalizeStats)","open","2026-09-02T14:36:50Z"
"123","brace-expansion","high","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation","open","2026-09-01T15:54:53Z"
"122","decode-uri-component","medium","decode-uri-component: Denial of service via exponential decoding of malformed percent-encoded input","open","2026-09-01T06:41:38Z"
"121","brace-expansion","high","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation","open","2026-08-22T20:14:38Z"
"120","nanoid","high","nanoid: custom generators can loop indefinitely when size is zero","open","2026-08-16T02:33:32Z"
"119","nanoid","high","nanoid: non-secure generators can loop indefinitely with negative size","open","2026-08-11T21:25:58Z"
"117","postcss","medium","PostCSS: incomplete fix of GHSA-6g55-p6wh-862q ??? attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset","open","2026-08-11T19:40:51Z"
"116","js-yaml","high","JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) ??? CVE-2026-59870 fix not backported","open","2026-08-11T18:17:26Z"
"115","image-size","high","image-size: ICNS parser allows denial of service through an infinite loop","open","2026-08-10T18:28:36Z"
"114","image-size","high","image-size: JXL and HEIF parsers allow denial of service through infinite loops","open","2026-08-10T18:28:36Z"
"113","js-yaml","high","JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) ??? CVE-2026-59870 fix not backported","open","2026-08-10T16:50:13Z"
"112","brace-expansion","high","brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash","open","2026-08-09T03:29:10Z"
"111","fast-uri","high","fast-uri vulnerable to host confusion via backslash authority introducer","open","2026-08-05T19:15:20Z"
"110","undici","medium","undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields","open","2026-08-05T06:10:21Z"
"109","undici","medium","undici vulnerable to CRLF Injection via blob-like body 'type' property","open","2026-08-05T05:44:26Z"
"108","undici","medium","undici vulnerable to downstream response desynchronization via retry interceptor","open","2026-08-05T05:44:19Z"
"107","brace-expansion","high","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation","open","2026-08-04T05:07:42Z"
"106","brace-expansion","high","brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash","open","2026-08-02T09:54:29Z"
"105","brace-expansion","high","brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash","open","2026-08-01T04:33:27Z"
"103","tar","high","node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection","fixed","2026-07-26T12:03:08Z"
"102","postcss","high","PostCSS: Path Traversal in Previous Source Map Auto-Loading (sourceMappingURL) leads to Arbitrary .map File Disclosure","open","2026-07-26T12:03:07Z"
"101","postcss","high","PostCSS: Arbitrary file read and information disclosure via attacker-controlled sourceMappingURL in CSS comments","open","2026-07-23T18:46:32Z"
"100","fast-uri","high","fast-uri vulnerable to host confusion via literal backslash authority delimiter","open","2026-07-23T18:46:32Z"
"99","fast-uri","high","fast-uri vulnerable to host confusion via failed IDN canonicalization","open","2026-07-23T18:46:32Z"
"98","axios","medium","Axios: Nested axios option objects can consume polluted prototype values","open","2026-07-23T18:46:32Z"
"97","axios","medium","Axios: Fetch adapter `ReadableStream` uploads bypass `maxBodyLength`","open","2026-07-23T18:46:32Z"
"96","axios","medium","Axios: Prototype pollution gadgets can alter axios request construction","open","2026-07-23T18:46:32Z"
"95","tar","medium","node-tar: Process crash via PAX numeric path type confusion","fixed","2026-07-23T18:46:32Z"
